participant.ID,gender,age,comp.context,level,winner.name,reward_str,reward_bin,athleticism.perception,intelligence.perception
94,cisgender_woman,18,academic,elementary,Jamie,winner,1,2,3
95,cisgender_woman,18,academic,elementary,Jamie,loser,0,1,1
96,cisgender_woman,31,academic,elementary,Jamie,loser,0,2,1
97,cisgender_man,17,academic,elementary,Jamie,winner,1,2,3
98,cisgender_woman,19,academic,elementary,Jamie,winner,1,3,2
99,cisgender_man,19,academic,elementary,Jamie,winner,1,3,1
100,cisgender_woman,18,academic,elementary,Jamie,loser,0,1,2
101,cisgender_woman,18,academic,elementary,Jamie,winner,1,3,3
102,cisgender_woman,18,academic,elementary,Jamie,winner,1,2,1
103,cisgender_woman,19,academic,elementary,Jamie,winner,1,1,1
104,cisgender_woman,18,academic,elementary,Jamie,winner,1,1,2
105,cisgender_woman,18,academic,elementary,Jamie,winner,1,1,1
106,cisgender_woman,18,academic,elementary,Jamie,winner,1,2,2
107,cisgender_woman,18,academic,elementary,Jamie,winner,1,2,3
108,cisgender_woman,18,academic,elementary,Jamie,winner,1,2,1
109,cisgender_woman,18,academic,elementary,Jamie,winner,1,2,3
110,cisgender_woman,20,academic,elementary,Jamie,winner,1,1,1
111,cisgender_woman,18,academic,elementary,Jamie,loser,0,2,3
112,cisgender_woman,18,academic,elementary,Jamie,winner,1,3,3
113,cisgender_woman,19,academic,elementary,Jamie,winner,1,1,0.5
114,cisgender_woman,18,academic,elementary,Jamie,winner,1,2,2
115,cisgender_woman,18,academic,elementary,Jamie,winner,1,1,2
116,cisgender_man,18,academic,elementary,Morgan,winner,1,2,1
117,cisgender_woman,18,academic,elementary,Morgan,winner,1,1,1
118,pnts,18,academic,elementary,Morgan,winner,1,2,1
119,cisgender_woman,18,academic,elementary,Morgan,winner,1,0.5,0.5
120,cisgender_man,20,academic,elementary,Morgan,loser,0,3,1
121,cisgender_woman,18,academic,elementary,Morgan,winner,1,1,1
122,cisgender_woman,18,academic,elementary,Morgan,winner,1,2,1
123,cisgender_woman,18,academic,elementary,Morgan,winner,1,3,3
124,cisgender_woman,19,academic,elementary,Morgan,winner,1,2,1
125,nonbinary,18,academic,elementary,Morgan,winner,1,1,2
126,cisgender_woman,18,academic,elementary,Morgan,winner,1,3,1
127,cisgender_woman,18,academic,elementary,Morgan,loser,0,1,0.5
128,cisgender_woman,18,academic,elementary,Morgan,winner,1,2,1
129,cisgender_woman,18,academic,elementary,Morgan,winner,1,1,2
130,cisgender_woman,18,academic,elementary,Morgan,winner,1,2,2
131,cisgender_man,18,academic,elementary,Morgan,winner,1,2,1
132,cisgender_woman,18,academic,elementary,Morgan,winner,1,2,3
133,cisgender_woman,18,academic,elementary,Morgan,winner,1,1,0.5
134,cisgender_man,18,academic,elementary,Morgan,winner,1,2,0.5
135,cisgender_woman,19,academic,elementary,Morgan,winner,1,1,2
136,cisgender_woman,18,academic,elementary,Morgan,winner,1,2,1
137,cisgender_woman,18,academic,elementary,Morgan,winner,1,2,2
138,cisgender_man,18,academic,elementary,Morgan,winner,1,1,2
139,cisgender_man,18,academic,highschool,Jamie,winner,1,1,1
140,cisgender_man,18,academic,highschool,Jamie,winner,1,1,1
141,cisgender_woman,18,academic,highschool,Jamie,winner,1,2,1
142,trans_man,18,academic,highschool,Jamie,winner,1,2,2
143,cisgender_woman,18,academic,highschool,Jamie,winner,1,1,1
144,cisgender_man,18,academic,highschool,Jamie,winner,1,3,2
145,cisgender_woman,18,academic,highschool,Jamie,winner,1,1,1
146,cisgender_woman,18,academic,highschool,Jamie,winner,1,2,1
147,cisgender_woman,18,academic,highschool,Jamie,winner,1,1,3
148,cisgender_woman,18,academic,highschool,Jamie,winner,1,2,1
149,cisgender_man,18,academic,highschool,Jamie,winner,1,3,1
150,cisgender_man,18,academic,highschool,Jamie,winner,1,2,3
151,cisgender_woman,18,academic,highschool,Jamie,winner,1,2,2
152,cisgender_woman,18,academic,highschool,Jamie,winner,1,2,0.5
153,cisgender_woman,18,academic,highschool,Jamie,winner,1,2,0.5
154,cisgender_woman,19,academic,highschool,Jamie,loser,0,0.5,0.33
155,cisgender_woman,18,academic,highschool,Jamie,winner,1,2,3
156,cisgender_woman,19,academic,highschool,Jamie,winner,1,1,2
157,cisgender_man,18,academic,highschool,Jamie,winner,1,1,0.5
158,cisgender_woman,18,academic,highschool,Jamie,winner,1,1,2
159,cisgender_woman,18,academic,highschool,Jamie,winner,1,2,1
160,cisgender_man,18,academic,highschool,Jamie,winner,1,1,2
161,cisgender_woman,18,academic,highschool,Jamie,loser,0,1,0.5
162,cisgender_woman,18,academic,highschool,Jamie,winner,1,1,1
163,cisgender_woman,18,academic,highschool,Morgan,winner,1,2,2
164,cisgender_woman,18,academic,highschool,Morgan,winner,1,2,1
165,cisgender_woman,18,academic,highschool,Morgan,winner,1,2,2
166,nonbinary,18,academic,highschool,Morgan,winner,1,1,1
167,nonbinary,18,academic,highschool,Morgan,winner,1,2,2
168,cisgender_woman,18,academic,highschool,Morgan,winner,1,2,1
169,cisgender_woman,18,academic,highschool,Morgan,winner,1,1,2
170,cisgender_woman,22,academic,highschool,Morgan,winner,1,2,0.5
171,cisgender_woman,18,academic,highschool,Morgan,winner,1,1,1
172,cisgender_woman,18,academic,highschool,Morgan,winner,1,1,0.5
173,cisgender_woman,18,academic,highschool,Morgan,winner,1,2,2
174,cisgender_woman,18,academic,highschool,Morgan,winner,1,2,1
175,cisgender_woman,18,academic,highschool,Morgan,winner,1,2,1
176,cisgender_woman,18,academic,highschool,Morgan,winner,1,1,0.5
177,cisgender_woman,18,academic,highschool,Morgan,winner,1,1,1
178,cisgender_man,18,academic,highschool,Morgan,loser,0,1,2
179,cisgender_woman,18,academic,highschool,Morgan,winner,1,2,2
180,cisgender_woman,18,academic,highschool,Morgan,winner,1,3,3
181,cisgender_woman,18,academic,highschool,Morgan,winner,1,1,2
182,cisgender_woman,18,academic,highschool,Morgan,winner,1,1,1
183,cisgender_woman,19,academic,highschool,Morgan,winner,1,1,1
184,cisgender_woman,18,academic,highschool,Morgan,winner,1,2,1
185,cisgender_woman,18,academic,highschool,Morgan,winner,1,2,1
