participant.ID,experiment,gender,age,comp.context,level,winner.name,athleticism.perception,intelligence.perception
102,1,cisgender man,18,Academic,Elementary,Jamie,2,1
103,1,cisgender man,18,Academic,Elementary,Jamie,1,3
104,1,cisgender man,22,Academic,Elementary,Jamie,2,2
105,1,cisgender woman,17,Academic,Elementary,Morgan,3,2
106,1,cisgender woman,17,Academic,Elementary,Morgan,1,0.33
107,1,cisgender woman,18,Academic,Elementary,Morgan,1,0.5
108,1,cisgender woman,18,Academic,Elementary,Morgan,2,2
109,1,cisgender woman,17,Academic,Elementary,Morgan,1,2
110,1,cisgender man,17,Academic,Elementary,Morgan,1,1
111,1,cisgender woman,19,Academic,Elementary,Morgan,1,2
112,1,cisgender woman,18,Academic,Elementary,Morgan,2,3
113,1,cisgender woman,18,Academic,Elementary,Morgan,1,3
114,1,cisgender woman,18,Academic,Elementary,Morgan,2,2
115,1,cisgender woman,18,Academic,Elementary,Morgan,1,0.5
116,1,cisgender woman,18,Academic,Elementary,Morgan,1,2
117,1,cisgender man,18,Academic,Elementary,Morgan,1,2
118,1,cisgender woman,18,Academic,Elementary,Morgan,2,2
119,1,cisgender woman,18,Academic,Elementary,Morgan,3,2
120,1,cisgender woman,17,Academic,Elementary,Morgan,2,2
121,1,cisgender woman,17,Academic,Elementary,Morgan,1,1
122,1,cisgender man,19,Academic,Elementary,Morgan,2,1
123,1,cisgender man,19,Academic,Elementary,Morgan,2,1
124,1,cisgender man,18,Academic,Elementary,Morgan,1,1
125,1,cisgender man,18,Academic,Elementary,Morgan,2,0.5
126,1,cisgender man,21,Academic,Elementary,Morgan,0.5,0.5
127,1,nonbinary,17,Academic,High school,Jamie,2,2
128,1,cisgender woman,19,Academic,High school,Jamie,2,2
129,1,cisgender woman,18,Academic,High school,Jamie,2,3
130,1,cisgender woman,18,Academic,High school,Jamie,2,1
131,1,cisgender woman,20,Academic,High school,Jamie,1,1
132,1,cisgender woman,18,Academic,High school,Jamie,2,2
133,1,cisgender man,18,Academic,High school,Jamie,2,1
134,1,cisgender woman,18,Academic,High school,Jamie,2,3
135,1,cisgender woman,17,Academic,High school,Jamie,2,2
136,1,cisgender woman,18,Academic,High school,Jamie,1,1
137,1,cisgender woman,19,Academic,High school,Jamie,1,2
138,1,cisgender woman,18,Academic,High school,Jamie,1,1
139,1,cisgender woman,18,Academic,High school,Jamie,1,1
140,1,cisgender woman,18,Academic,High school,Jamie,1,2
141,1,cisgender woman,18,Academic,High school,Jamie,2,1
142,1,cisgender woman,18,Academic,High school,Jamie,1,1
143,1,cisgender woman,19,Academic,High school,Jamie,2,2
144,1,cisgender man,18,Academic,High school,Jamie,2,1
145,1,cisgender man,18,Academic,High school,Jamie,2,1
146,1,cisgender man,18,Academic,High school,Jamie,1,2
147,1,cisgender man,18,Academic,High school,Jamie,1,2
148,1,cisgender man,18,Academic,High school,Jamie,2,3
149,1,cisgender woman,Less than 17,Academic,High school,Morgan,2,3
150,1,cisgender woman,18,Academic,High school,Morgan,2,3
151,1,cisgender man,18,Academic,High school,Morgan,1,1
152,1,cisgender man,17,Academic,High school,Morgan,1,1
153,1,cisgender woman,18,Academic,High school,Morgan,3,2
154,1,cisgender woman,18,Academic,High school,Morgan,3,3
155,1,cisgender woman,18,Academic,High school,Morgan,3,0.5
156,1,cisgender woman,18,Academic,High school,Morgan,0.5,1
157,1,prefer not to say,19,Academic,High school,Morgan,2,1
158,1,cisgender woman,18,Academic,High school,Morgan,2,1
159,1,cisgender man,19,Academic,High school,Morgan,1,1
160,1,cisgender woman,18,Academic,High school,Morgan,1,1
161,1,cisgender woman,18,Academic,High school,Morgan,1,3
162,1,cisgender woman,18,Academic,High school,Morgan,2,1
163,1,cisgender woman,18,Academic,High school,Morgan,1,2
164,1,cisgender woman,18,Academic,High school,Morgan,1,1
165,1,cisgender woman,18,Academic,High school,Morgan,1,2
166,1,cisgender woman,18,Academic,High school,Morgan,2,3
167,1,cisgender man,18,Academic,High school,Morgan,2,2
168,1,cisgender man,19,Academic,High school,Morgan,1,2
169,1,cisgender man,21,Academic,High school,Morgan,2,1
170,1,cisgender man,18,Academic,High school,Morgan,2,2
171,2,cisgender_woman,17,athletic,elementary,Jamie,2,2
172,2,cisgender_woman,18,athletic,elementary,Jamie,1,1
173,2,cisgender_man,18,athletic,elementary,Jamie,1,1
174,2,cisgender_woman,19,athletic,elementary,Jamie,2,1
175,2,cisgender_woman,18,athletic,elementary,Jamie,1,1
176,2,cisgender_woman,18,athletic,elementary,Jamie,2,2
177,2,cisgender_woman,19,athletic,elementary,Jamie,3,2
178,2,cisgender_woman,18,athletic,elementary,Jamie,1,1
179,2,cisgender_woman,18,athletic,elementary,Jamie,0.5,0.5
180,2,cisgender_woman,18,athletic,elementary,Jamie,1,2
181,2,cisgender_woman,18,athletic,elementary,Jamie,2,2
182,2,pnts,19,athletic,elementary,Jamie,2,1
183,2,cisgender_woman,18,athletic,elementary,Jamie,1,2
